year,month,day,hour,speed
2014,1,9,23,99.95
2014,1,10,0,101.21
2014,1,10,1,100.07
2014,1,10,2,97.38
2014,1,10,3,95.88
2014,1,10,4,94.2
2014,1,10,5,96.4
2014,1,10,6,91.12
2014,1,10,7,78.57
2014,1,10,8,80.85
2014,1,10,9,82.72
2014,1,10,10,65.47
2014,1,10,11,81.53
2014,1,10,12,82.97
2014,1,10,13,83.44
2014,1,10,14,81.87
2014,1,10,15,83.51
2014,1,10,16,83.58
2014,1,10,17,82
2014,1,10,18,85.32
2014,1,10,19,85.83
2014,1,10,20,85.7
2014,1,10,21,92.75
2014,1,10,22,95.51
2014,1,10,23,98.55
2014,1,11,0,100.77
2014,1,11,1,101.72
2014,1,11,2,102.25
2014,1,11,3,100.77
2014,1,11,4,98.52
2014,1,11,5,98.83
2014,1,11,6,93.31
2014,1,11,7,85.59
2014,1,11,8,85.44
2014,1,11,9,83.66
2014,1,11,10,80.18
2014,1,11,11,85.45
2014,1,11,12,90.23
2014,1,11,13,89.1
2014,1,11,14,85.43
2014,1,11,15,86.29
2014,1,11,16,84.01
2014,1,11,17,83.06
2014,1,11,18,85.52
2014,1,11,19,86.67
2014,1,11,20,90.84
2014,1,11,21,94.95
2014,1,11,22,99.06
2014,1,11,23,101.68
2014,1,12,0,105.6
2014,1,12,1,106.37
2014,1,12,2,104.68
2014,1,12,3,106.72
2014,1,12,4,105.17
2014,1,12,5,106.24
2014,1,12,6,103.09
2014,1,12,7,98.59
2014,1,12,8,97.96
2014,1,12,9,94.78
2014,1,12,10,91.36
2014,1,12,11,91.38
2014,1,12,12,94.31
2014,1,12,13,94.37
2014,1,12,14,89.92
2014,1,12,15,86.52
2014,1,12,16,84.87
2014,1,12,17,84.08
2014,1,12,18,84.39
2014,1,12,19,86.59
2014,1,12,20,83.48
2014,1,12,21,93.96
2014,1,12,22,98.49
2014,1,12,23,103.4
2014,1,13,0,104.08
2014,1,13,1,103.13
2014,1,13,2,100.29
2014,1,13,3,99.34
2014,1,13,4,100.91
2014,1,13,5,98.76
2014,1,13,6,72.18
2014,1,13,7,48.88
2014,1,13,8,73.7
2014,1,13,9,82.93
2014,1,13,10,78.4
2014,1,13,11,78.86
2014,1,13,12,83.11
2014,1,13,13,82.47
2014,1,13,14,83.25
2014,1,13,15,83.75
2014,1,13,16,86.24
2014,1,13,17,85.65
2014,1,13,18,86.94
2014,1,13,19,88.37
2014,1,13,20,89.96
2014,1,13,21,94.83
2014,1,13,22,96.63
2014,1,13,23,98.87
2014,1,14,0,99.75
2014,1,14,1,100.63
2014,1,14,2,97.01
2014,1,14,3,95.64
2014,1,14,4,95.09
2014,1,14,5,96.56
2014,1,14,6,90.6
2014,1,14,7,78.6
2014,1,14,8,78.74
2014,1,14,9,80.89
2014,1,14,10,70.59
2014,1,14,11,75.34
2014,1,14,12,81.66
2014,1,14,13,84.67
2014,1,14,14,82.55
2014,1,14,15,83.41
2014,1,14,16,85.04
2014,1,14,17,85.7
2014,1,14,18,86.4
2014,1,14,19,89.73
2014,1,14,20,89.74
2014,1,14,21,94.34
2014,1,14,22,97.11
2014,1,14,23,98.95
2014,1,15,0,100.39
2014,1,15,1,100.37
2014,1,15,2,98.22
2014,1,15,3,97
2014,1,15,4,94.03
2014,1,15,5,95.84
2014,1,15,6,89.97
2014,1,15,7,75.65
2014,1,15,8,81.65
2014,1,15,9,80.06
2014,1,15,10,74.64
2014,1,15,11,78.8
2014,1,15,12,82.03
2014,1,15,13,78.28
2014,1,15,14,82.06
2014,1,15,15,85.13
2014,1,15,16,85.75
2014,1,15,17,85.49
2014,1,15,18,87.29
2014,1,15,19,90.41
2014,1,15,20,90.35
2014,1,15,21,94.73
2014,1,15,22,96.78
2014,1,15,23,99.23
2014,1,16,0,101.64
2014,1,16,1,100.31
2014,1,16,2,96.81
2014,1,16,3,96.83
2014,1,16,4,95.84
2014,1,16,5,97.83
2014,1,16,6,91.27
2014,1,16,7,78.53
2014,1,16,8,80.31
2014,1,16,9,79.15
2014,1,16,10,73.46
2014,1,16,11,79.23
2014,1,16,12,80.13
2014,1,16,13,80.62
2014,1,16,14,81.45
2014,1,16,15,82.35
2014,1,16,16,85.64
2014,1,16,17,85.68
2014,1,16,18,87.11
2014,1,16,19,87.78
2014,1,16,20,89.51
2014,1,16,21,94.17
2014,1,16,22,95.8
2014,1,16,23,99.47
2014,1,17,0,101.16
2014,1,17,1,101.7
2014,1,17,2,100.4
2014,1,17,3,96.23
2014,1,17,4,95.91
2014,1,17,5,97.01
2014,1,17,6,90.89
2014,1,17,7,80.01
2014,1,17,8,80.89
2014,1,17,9,80.75
2014,1,17,10,81.52
2014,1,17,11,80.96
2014,1,17,12,83.97
2014,1,17,13,83.83
2014,1,17,14,82.81
2014,1,17,15,83.44
2014,1,17,16,83.95
2014,1,17,17,82.66
2014,1,17,18,83.72
2014,1,17,19,86.17
2014,1,17,20,87.63
2014,1,17,21,91.65
2014,1,17,22,94.37
2014,1,17,23,98.27
2014,1,18,0,101.98
2014,1,18,1,101.62
2014,1,18,2,102.67
2014,1,18,3,100.98
2014,1,18,4,99.43
2014,1,18,5,99.49
2014,1,18,6,93.95
2014,1,18,7,86.52
2014,1,18,8,85.54
2014,1,18,9,82.68
